,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,12.0,15.0,8.0,120.0,-5.0,2.0,1024.0,30.1,15.0,50.0,0
1,6.0,20.0,14.0,80.0,10.0,22.0,1012.0,50.3,10.0,200.0,0
2,3.0,15.0,12.0,45.0,-10.0,8.0,1015.0,5.2,45.0,20.0,0
3,10.0,28.0,20.0,90.0,5.0,15.0,1005.0,10.5,270.0,50.0,0
4,2.0,10.0,8.0,120.0,-6.0,-3.0,1015.0,150.3,15.0,20.0,0
5,2.0,20.0,18.0,60.0,-10.0,-6.0,1025.0,180.9,10.0,10.0,0
6,2.0,10.0,17.0,35.0,-20.0,-9.0,1033.0,1.2,0.0,0.0,0
7,3.0,8.0,9.0,28.0,-18.0,-7.0,1032.0,90.1,0.0,0.0,0
8,12.0,28.0,18.0,43.0,-15.0,-8.0,1032.0,142.9,0.0,0.0,0
9,12.0,25.0,20.0,98.0,-10.0,-2.0,1024.0,67.5,1.0,0.0,0
10,2.0,10.0,14.0,43.0,-15.0,-6.0,1028.0,7.2,3.0,10.0,0
11,12.0,28.0,20.0,69.0,-8.0,-3.0,1035.0,11.5,9.0,5.0,0
12,2.0,10.0,12.0,40.0,-15.0,-3.0,1020.0,85.1,5.0,50.0,0
13,3.0,20.0,20.0,35.0,-10.0,2.0,1015.0,120.8,3.0,20.0,0
14,2.0,10.0,1.0,48.0,-15.0,-10.0,1029.0,30.2,3.0,0.0,0
15,2.0,15.0,3.0,58.0,-12.0,-8.0,1023.0,58.5,8.0,0.0,0
16,2.0,10.0,2.0,45.0,-12.0,-8.0,1028.0,35.1,3.0,0.0,0
17,2.0,15.0,3.0,91.0,-20.0,-10.0,1035.0,10.5,2.0,0.0,0
18,2.0,10.0,9.0,32.0,-18.0,-10.0,1031.0,21.1,1.0,0.1,0
19,2.0,8.0,3.0,29.0,-22.0,-14.0,1028.0,48.5,0.0,0.0,0
20,2.0,10.0,14.0,42.0,-18.0,-8.0,1028.0,15.6,0.0,0.0,0
21,3.0,20.0,6.0,28.0,-12.0,-2.0,1019.0,22.1,0.0,0.0,0
22,2.0,10.0,14.0,78.0,-5.0,2.0,1015.0,3.2,18.0,50.0,0
