,pm2.5,TEMP,real_identifier
0,67.2,-6.5,0
1,58.1,-7.8,0
2,25.0,-12.0,0
3,38.0,-10.0,0
4,29.0,-12.0,0
5,30.0,-14.0,0
6,75.0,-12.0,0
7,42.0,-10.0,0
8,142.0,-8.0,0
9,91.0,-10.0,0
10,67.0,-9.0,0
11,131.0,-6.0,0
12,145.0,-8.0,0
13,118.0,-12.0,0
14,85.0,-10.0,0
15,88.0,-7.0,0
16,42.0,-15.0,0
17,58.0,-7.0,0
18,22.5,-10.5,0
19,28.2,-14.8,0
20,25.0,-10.0,0
21,85.0,-15.0,0
22,30.5,-10.2,0
23,120.8,-3.5,0
24,45.0,-12.0,0
25,32.0,-9.0,0
26,58.0,-9.0,0
27,32.0,-11.0,0
28,25.0,-9.0,0
29,85.0,-7.0,0
30,25.0,-15.0,0
31,135.0,-3.0,0
32,27.0,-10.0,0
33,98.0,-4.0,0
34,42.0,-8.0,0
35,91.0,-3.0,0
36,32.5,-14.2,0
37,79.1,-10.5,0
38,105.0,-7.5,0
39,92.0,-8.0,0
40,29.5,-10.5,0
41,26.8,-13.2,0
42,30.5,-9.2,0
43,29.2,-10.8,0
44,141.0,-4.0,0
45,169.0,-7.0,0
46,28.0,-12.0,0
47,140.0,-3.0,0
48,41.5,-9.0,0
49,30.8,-15.5,0
50,65.0,-7.0,1
51,55.0,-7.0,1
52,29.0,-15.0,1
53,44.0,-14.0,1
54,27.0,-13.0,1
55,31.0,-15.0,1
56,98.0,-9.0,1
57,28.0,-16.0,1
58,158.0,-5.0,1
59,84.0,-12.0,1
60,59.0,-11.0,1
61,149.0,-5.0,1
62,152.0,-5.0,1
63,106.0,-18.0,1
64,78.0,-9.0,1
65,91.0,-8.0,1
66,26.0,-12.0,1
67,61.0,-9.0,1
68,20.0,-12.0,1
69,26.0,-13.0,1
70,31.0,-12.0,1
71,79.0,-12.0,1
72,25.0,-12.0,1
73,148.0,-5.0,1
74,50.0,-14.0,1
75,29.0,-11.0,1
76,65.0,-7.0,1
77,29.0,-13.0,1
78,30.0,-11.0,1
79,90.0,-6.0,1
80,30.0,-17.0,1
81,129.0,-4.0,1
82,33.0,-13.0,1
83,109.0,-6.0,1
84,138.0,-5.0,1
85,27.0,-12.0,1
86,27.0,-16.0,1
87,86.0,-9.0,1
88,120.0,-6.0,1
89,86.0,-9.0,1
90,28.0,-11.0,1
91,27.0,-12.0,1
92,32.0,-10.0,1
93,28.0,-11.0,1
94,156.0,-6.0,1
95,132.0,-5.0,1
96,36.0,-14.0,1
97,154.0,-5.0,1
98,39.0,-11.0,1
99,34.0,-18.0,1
