,median_income,median_house_value,real_identifier
0,1.8,123400.0,0
1,2.1,165000.0,0
2,2.5,143200.0,0
3,3.8,176500.0,0
4,2.1,92000.0,0
5,0.8,71000.0,0
6,2.1,67800.0,0
7,1.2,82100.0,0
8,2.5,245000.0,0
9,1.8,520000.0,0
10,2.5,145000.0,0
11,1.8,120000.0,0
12,2.8,185000.0,0
13,1.2,95000.0,0
14,1.2,143200.0,0
15,1.1,169300.0,0
16,1.9,129200.0,0
17,0.9,115800.0,0
18,3.9,385400.0,0
19,3.6,291300.0,0
20,2.8,185400.0,0
21,2.5,199200.0,0
22,2.3,175000.0,0
23,1.5,85000.0,0
24,1.2,170000.0,0
25,2.4,185000.0,0
26,2.5,143200.0,0
27,4.1,320100.0,0
28,2.3,138000.0,0
29,1.9,145000.0,0
30,1.2,93500.0,0
31,1.1,92000.0,0
32,1.8,124700.0,0
33,1.4,87600.0,0
34,1.9,148500.0,0
35,1.6,114000.0,0
36,1.15,93500.0,0
37,1.25,85500.0,0
38,1.2,120000.0,0
39,1.8,95000.0,0
40,1.5,185000.0,0
41,2.1,92000.0,0
42,2.1,95000.0,0
43,2.8,72500.0,0
44,2.1,85000.0,0
45,2.7,110000.0,0
46,1.5,149900.0,0
47,1.2,139800.0,0
48,2.5,141300.0,0
49,1.9,192500.0,0
50,1.2475,104200.0,1
51,2.6354,187500.0,1
52,1.1111,108300.0,1
53,3.9643,188800.0,1
54,1.8516,85000.0,1
55,0.4999,67500.0,1
56,2.5938,73500.0,1
57,0.7286,95200.0,1
58,2.0804,226700.0,1
59,1.2434,500001.0,1
60,2.0096,130000.0,1
61,1.1667,112500.0,1
62,2.5898,176000.0,1
63,1.5208,112500.0,1
64,0.9241,177500.0,1
65,1.375,104900.0,1
66,2.0114,131300.0,1
67,0.8026,112500.0,1
68,3.8462,342200.0,1
69,3.6912,261100.0,1
70,2.6736,191300.0,1
71,2.6104,193100.0,1
72,1.808,105500.0,1
73,2.1202,155500.0,1
74,0.76,162500.0,1
75,2.6768,182300.0,1
76,3.2705,241800.0,1
77,1.7969,110400.0,1
78,2.125,140000.0,1
79,2.026,142500.0,1
80,0.9011,86100.0,1
81,1.4103,103900.0,1
82,1.6424,108900.0,1
83,1.5045,93800.0,1
84,1.6875,132000.0,1
85,1.4113,83100.0,1
86,1.1667,78400.0,1
87,1.0972,104500.0,1
88,0.9722,137500.0,1
89,1.6098,87500.0,1
90,1.2185,170000.0,1
91,2.6094,81300.0,1
92,1.775,112500.0,1
93,2.5625,60000.0,1
94,1.75,75000.0,1
95,2.4083,98200.0,1
96,1.7135,159800.0,1
97,0.9802,129200.0,1
98,2.0978,155400.0,1
99,1.8477,179200.0,1
