,median_income,median_house_value,real_identifier
0,2.1,163400.0,0
1,1.5,108300.0,0
2,2.9,245000.0,0
3,1.3,124200.0,0
4,2.5,187700.0,0
5,1.9,143800.0,0
6,1.1,85300.0,0
7,2.3,159500.0,0
8,1.6,118300.0,0
9,3.3,276300.0,0
10,2.0,133500.0,0
11,1.4,100800.0,0
12,2.8,219800.0,0
13,1.7,130700.0,0
14,2.4,172400.0,0
15,1.2,92100.0,0
16,3.0,251100.0,0
17,2.2,155300.0,0
18,1.8,140300.0,0
19,2.6,199200.0,0
20,1.1,78300.0,0
21,2.9,238400.0,0
22,1.6,115800.0,0
23,3.5,309700.0,0
24,2.1,148400.0,0
25,1.5,123400.0,0
26,2.5,183200.0,0
27,1.1,143800.0,0
28,2.8,214500.0,0
29,1.9,167300.0,0
30,0.7,115600.0,0
31,1.4,132900.0,0
32,2.3,193400.0,0
33,1.6,148200.0,0
34,0.6,100300.0,0
35,8.1,365200.0,0
36,2.4,162100.0,0
37,1.3,128400.0,0
38,1.8,158400.0,0
39,0.9,125600.0,0
40,7.5,354800.0,0
41,2.7,206300.0,0
42,1.2,141400.0,0
43,2.9,229400.0,0
44,0.4,94300.0,0
45,1.7,152200.0,0
46,1.0,134400.0,0
47,2.1,186300.0,0
48,1.4,145600.0,0
49,0.8,117800.0,0
50,7.8,371300.0,0
0,2.5625,60000.0,1
1,2.6354,187500.0,1
2,1.1667,78400.0,1
3,2.6033,162900.0,1
4,2.5898,176000.0,1
5,1.2852,150000.0,1
6,1.2171,80300.0,1
7,1.7348,137500.0,1
8,1.5045,93800.0,1
9,1.7719,82500.0,1
10,3.075,213500.0,1
11,2.125,140000.0,1
12,3.48,191400.0,1
13,1.9911,158700.0,1
14,0.8172,85300.0,1
15,1.8477,179200.0,1
16,3.6591,299200.0,1
17,1.1667,112500.0,1
18,3.8462,342200.0,1
19,0.8026,112500.0,1
20,3.9643,188800.0,1
21,2.5938,73500.0,1
22,1.4113,83100.0,1
23,0.9241,177500.0,1
24,1.8088,118800.0,1
25,0.977,118800.0,1
26,2.0978,155400.0,1
27,2.1202,155500.0,1
28,2.0804,226700.0,1
29,1.2475,104200.0,1
30,0.8668,137500.0,1
31,1.7135,159800.0,1
32,1.6875,132000.0,1
33,0.9722,137500.0,1
34,0.8075,137500.0,1
35,8.3014,358500.0,1
36,2.026,142500.0,1
37,2.1806,99700.0,1
38,1.6098,87500.0,1
39,0.9506,187500.0,1
40,1.775,112500.0,1
41,0.8056,84400.0,1
42,7.2574,352100.0,1
43,2.6104,193100.0,1
44,1.5208,112500.0,1
45,2.6,132600.0,1
46,0.4999,67500.0,1
47,1.2434,500001.0,1
48,0.9011,86100.0,1
49,1.7969,110400.0,1
50,1.808,105500.0,1
