,median_income,median_house_value,real_identifier
0,1.3,109200.0,0
1,2.5,143800.0,0
2,1.9,129300.0,0
3,8.1,438700.0,0
4,1.5,123400.0,0
5,0.7,98300.0,0
6,1.6,116100.0,0
7,2.3,168200.0,0
8,1.1,105600.0,0
9,0.9,152300.0,0
10,2.8,201100.0,0
11,1.4,110800.0,0
12,1.8,127800.0,0
13,0.6,62300.0,0
14,2.1,141400.0,0
15,1.7,120900.0,0
16,0.8,86300.0,0
17,1.3,107300.0,0
18,2.6,177300.0,0
19,1.2,102500.0,0
20,2.4,159800.0,0
21,1.5,114200.0,0
22,0.7,92700.0,0
23,1.9,132600.0,0
24,2.7,194500.0,0
25,1.8,125800.0,0
26,2.5,185300.0,0
27,1.3,109200.0,0
28,2.1,148000.0,0
29,1.9,120000.0,0
30,0.9,95000.0,0
31,2.8,193000.0,0
32,1.6,132000.0,0
33,2.3,158000.0,0
34,1.1,90000.0,0
35,2.9,205000.0,0
36,1.4,115000.0,0
37,2.6,182000.0,0
38,1.7,140000.0,0
39,2.2,155000.0,0
40,1.0,85000.0,0
41,2.4,165000.0,0
42,1.8,145000.0,0
43,2.0,125000.0,0
44,1.5,110000.0,0
45,2.7,190000.0,0
46,1.2,100000.0,0
47,2.5,180000.0,0
48,1.9,135000.0,0
49,2.1,150000.0,0
50,1.6,130000.0,0
51,2.3,160000.0,0
50,1.375,104900.0,1
51,2.0114,131300.0,1
52,1.725,113900.0,1
53,8.3252,452600.0,1
54,1.2434,500001.0,1
55,1.1111,108300.0,1
56,0.8668,137500.0,1
57,0.977,118800.0,1
58,2.1202,155500.0,1
59,0.75,162500.0,1
60,1.808,105500.0,1
61,2.6094,81300.0,1
62,1.7348,137500.0,1
63,0.4999,67500.0,1
64,1.6424,108900.0,1
65,0.8172,85300.0,1
66,0.8075,137500.0,1
67,1.8516,85000.0,1
68,2.1806,99700.0,1
69,2.0096,130000.0,1
70,2.8345,183800.0,1
71,1.025,118800.0,1
72,2.6768,182300.0,1
73,3.0125,184400.0,1
74,1.2475,104200.0,1
75,1.4103,103900.0,1
76,1.9167,159200.0,1
77,1.6875,132000.0,1
78,0.76,162500.0,1
79,5.6431,341300.0,1
80,1.3578,147500.0,1
81,2.6354,187500.0,1
82,1.7719,82500.0,1
83,2.4083,98200.0,1
84,0.8026,112500.0,1
85,1.9615,115200.0,1
86,1.1108,97500.0,1
87,1.2171,80300.0,1
88,2.6033,162900.0,1
89,1.5208,112500.0,1
90,1.9274,122300.0,1
91,8.3014,358500.0,1
92,2.125,140000.0,1
93,1.775,112500.0,1
94,0.9218,171900.0,1
95,0.8056,84400.0,1
96,0.9722,137500.0,1
97,3.3929,75700.0,1
98,0.9506,187500.0,1
99,2.7303,109700.0,1
