,latitude,housing_median_age,total_rooms,median_income,median_house_value,real_identifier
0,37.7,55.0,2200.0,1.9,108000.0,0
1,37.9,18.0,1100.0,2.3,175000.0,0
2,37.9,50.0,2800.0,2.9,135600.0,0
3,37.7,53.0,3200.0,3.3,201900.0,0
4,37.8,52.0,2056.0,2.4,140700.0,0
5,37.8,52.0,1911.0,2.3,129300.0,0
6,37.9,41.0,1452.0,3.1,185000.0,0
7,37.7,55.0,2501.0,2.2,120000.0,0
8,37.7,39.0,610.0,2.3,120000.0,0
9,37.9,49.0,1050.0,2.2,140000.0,0
10,37.9,15.0,120.0,1.0,140000.0,0
11,37.8,45.0,850.0,1.0,122000.0,0
12,37.7,30.0,900.0,1.9,85000.0,0
13,37.9,48.0,1200.0,1.1,81000.0,0
14,37.9,29.0,1234.0,2.8,203400.0,0
15,37.7,48.0,2789.0,3.1,219700.0,0
16,37.85,38.0,1425.0,2.2,143400.0,0
17,37.82,33.0,2817.0,2.1,164900.0,0
18,37.9,51.0,1200.0,2.1,150000.0,0
19,37.7,49.0,900.0,1.1,110000.0,0
20,37.9,38.0,1411.0,1.1,143500.0,0
21,37.7,45.0,912.0,1.3,173200.0,0
22,37.85,38.0,920.0,6.5,321000.0,0
23,37.95,45.0,1020.0,5.8,279400.0,0
24,37.9,20.0,3567.0,1.1,165000.0,0
25,37.7,49.0,1021.0,1.4,155000.0,0
26,37.7,55.0,1056.0,3.5,295300.0,0
27,37.9,20.0,1419.0,1.2,193400.0,0
28,37.7,51.0,1050.0,2.7,82500.0,0
29,37.9,53.0,400.0,0.9,140000.0,0
30,37.9,41.0,1422.0,2.2,143100.0,0
31,37.7,55.0,1748.0,1.8,118300.0,0
32,37.9,51.0,1834.0,2.3,129400.0,0
33,37.7,53.0,2581.0,2.5,148700.0,0
34,37.9,15.0,1200.0,4.2,120000.0,0
35,37.7,40.0,2000.0,5.5,250000.0,0
36,37.9,51.0,1150.0,3.2,78000.0,0
37,37.7,53.0,1200.0,1.8,90000.0,0
38,37.9,51.0,1200.0,1.5,82000.0,0
39,37.7,53.0,900.0,1.8,88000.0,0
40,37.9,48.0,2100.0,2.3,162000.0,0
41,37.7,22.0,1400.0,1.5,124000.0,0
42,37.9,22.0,900.0,3.2,142000.0,0
43,37.7,45.0,160.0,5.5,72000.0,0
44,37.9,41.0,3134.0,3.1,243100.0,0
45,37.7,55.0,3876.0,2.9,309200.0,0
46,37.85,48.0,2500.0,1.1,142000.0,0
47,37.82,50.0,2200.0,0.95,132000.0,0
48,37.9,53.0,1400.0,4.2,245600.0,0
49,37.7,51.0,1300.0,4.8,283200.0,0
0,37.84,52.0,2436.0,1.725,113900.0,1
1,37.8,16.0,994.0,2.0938,162500.0,1
2,37.83,51.0,2665.0,2.7303,109700.0,1
3,37.84,52.0,3104.0,3.12,241400.0,1
4,37.84,52.0,2224.0,2.6,132600.0,1
5,37.83,52.0,1665.0,2.0978,155400.0,1
6,37.85,52.0,1966.0,2.775,152500.0,1
7,37.81,46.0,12.0,0.4999,67500.0,1
8,37.85,41.0,535.0,2.4038,107500.0,1
9,37.85,52.0,1228.0,2.1202,155500.0,1
10,37.8,10.0,105.0,0.9722,137500.0,1
11,37.84,49.0,713.0,1.025,118800.0,1
12,37.81,26.0,768.0,1.7719,82500.0,1
13,37.82,52.0,1387.0,1.2171,80300.0,1
14,37.79,27.0,1055.0,2.6354,187500.0,1
15,37.85,52.0,3503.0,3.2705,241800.0,1
16,37.81,35.0,948.0,1.8088,118800.0,1
17,37.82,37.0,3633.0,2.6104,193100.0,1
18,37.83,50.0,1125.0,2.026,142500.0,1
19,37.81,50.0,760.0,0.9011,86100.0,1
20,37.82,40.0,624.0,0.9506,187500.0,1
21,37.82,52.0,1630.0,1.2475,104200.0,1
22,37.88,41.0,880.0,8.3252,452600.0,1
23,37.84,52.0,950.0,3.9643,188800.0,1
24,37.82,22.0,3682.0,1.2185,170000.0,1
25,37.83,51.0,936.0,1.2852,150000.0,1
26,37.85,52.0,919.0,4.0368,269700.0,1
27,37.81,17.0,1237.0,0.9241,177500.0,1
28,37.8,52.0,1027.0,2.6094,81300.0,1
29,37.81,52.0,386.0,0.8075,137500.0,1
30,37.84,52.0,1503.0,2.6033,162900.0,1
31,37.82,43.0,1868.0,1.5045,93800.0,1
32,37.84,52.0,2153.0,1.9615,115200.0,1
33,37.84,52.0,696.0,2.6736,191300.0,1
34,37.82,2.0,158.0,2.5625,60000.0,1
35,37.85,52.0,1467.0,7.2574,352100.0,1
36,37.83,52.0,1121.0,3.3929,75700.0,1
37,37.82,52.0,1238.0,1.5057,87500.0,1
38,37.81,52.0,1010.0,1.1667,78400.0,1
39,37.81,52.0,572.0,1.8516,85000.0,1
40,37.83,52.0,2432.0,2.5898,176000.0,1
41,37.81,19.0,1207.0,1.1111,108300.0,1
42,37.81,20.0,835.0,2.483,137500.0,1
43,37.82,49.0,135.0,6.1183,75000.0,1
44,37.85,52.0,2202.0,3.2031,281500.0,1
45,37.82,31.0,4596.0,2.8345,183800.0,1
46,37.81,46.0,2801.0,0.9802,129200.0,1
47,37.8,52.0,215.0,0.8668,137500.0,1
48,37.83,52.0,1443.0,3.0125,184400.0,1
49,37.85,52.0,1274.0,5.6431,341300.0,1
50,37.82,21.0,896.0,0.9218,171900.0,1
